
==========

Using device:  cuda
Model: dinov2
Learning Rate: 0.0004
LR Scheduler: cosinealr
Epochs: 10
Batch Size: 128

==========Starting Training========

Epoch [1/10] - Batch [159/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [160/250] Loss: 0.95, CurLR: 0.0004
Epoch [1/10] - Batch [161/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [162/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [163/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [164/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [165/250] Loss: 0.88, CurLR: 0.0004
Epoch [1/10] - Batch [166/250] Loss: 1.04, CurLR: 0.0004
Epoch [1/10] - Batch [167/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [168/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [169/250] Loss: 0.87, CurLR: 0.0004
Epoch [1/10] - Batch [170/250] Loss: 0.82, CurLR: 0.0004
Epoch [1/10] - Batch [171/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [172/250] Loss: 0.74, CurLR: 0.0004
Epoch [1/10] - Batch [173/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [174/250] Loss: 0.76, CurLR: 0.0004
Epoch [1/10] - Batch [175/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [176/250] Loss: 0.82, CurLR: 0.0004
Epoch [1/10] - Batch [177/250] Loss: 0.88, CurLR: 0.0004
Epoch [1/10] - Batch [178/250] Loss: 0.95, CurLR: 0.0004
Epoch [1/10] - Batch [179/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [180/250] Loss: 1.05, CurLR: 0.0004
Epoch [1/10] - Batch [181/250] Loss: 0.68, CurLR: 0.0004
Epoch [1/10] - Batch [182/250] Loss: 0.81, CurLR: 0.0004
Epoch [1/10] - Batch [183/250] Loss: 0.73, CurLR: 0.0004
Epoch [1/10] - Batch [184/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [185/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [186/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [187/250] Loss: 0.92, CurLR: 0.0004
Epoch [1/10] - Batch [188/250] Loss: 0.72, CurLR: 0.0004
Epoch [1/10] - Batch [189/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [190/250] Loss: 0.82, CurLR: 0.0004
Epoch [1/10] - Batch [191/250] Loss: 0.82, CurLR: 0.0004
Epoch [1/10] - Batch [192/250] Loss: 0.92, CurLR: 0.0004
Epoch [1/10] - Batch [193/250] Loss: 0.75, CurLR: 0.0004
Epoch [1/10] - Batch [194/250] Loss: 0.95, CurLR: 0.0004
Epoch [1/10] - Batch [195/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [196/250] Loss: 0.77, CurLR: 0.0004
Epoch [1/10] - Batch [197/250] Loss: 0.84, CurLR: 0.0004
Epoch [1/10] - Batch [198/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [199/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [200/250] Loss: 1.00, CurLR: 0.0004
Epoch [1/10] - Batch [201/250] Loss: 0.90, CurLR: 0.0004
Epoch [1/10] - Batch [202/250] Loss: 0.78, CurLR: 0.0004
Epoch [1/10] - Batch [203/250] Loss: 0.70, CurLR: 0.0004
Epoch [1/10] - Batch [204/250] Loss: 0.53, CurLR: 0.0004
Epoch [1/10] - Batch [205/250] Loss: 0.74, CurLR: 0.0004
Epoch [1/10] - Batch [206/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [207/250] Loss: 0.79, CurLR: 0.0004
Epoch [1/10] - Batch [208/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [209/250] Loss: 0.64, CurLR: 0.0004
Epoch [1/10] - Batch [210/250] Loss: 0.76, CurLR: 0.0004
Epoch [1/10] - Batch [211/250] Loss: 0.70, CurLR: 0.0004
Epoch [1/10] - Batch [212/250] Loss: 0.92, CurLR: 0.0004
Epoch [1/10] - Batch [213/250] Loss: 0.95, CurLR: 0.0004
Epoch [1/10] - Batch [214/250] Loss: 0.67, CurLR: 0.0004
Epoch [1/10] - Batch [215/250] Loss: 0.75, CurLR: 0.0004
Epoch [1/10] - Batch [216/250] Loss: 0.74, CurLR: 0.0004
Epoch [1/10] - Batch [217/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [218/250] Loss: 0.77, CurLR: 0.0004
Epoch [1/10] - Batch [219/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [220/250] Loss: 0.82, CurLR: 0.0004
Epoch [1/10] - Batch [221/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [222/250] Loss: 1.06, CurLR: 0.0004
Epoch [1/10] - Batch [223/250] Loss: 0.93, CurLR: 0.0004
Epoch [1/10] - Batch [224/250] Loss: 1.03, CurLR: 0.0004
Epoch [1/10] - Batch [225/250] Loss: 0.57, CurLR: 0.0004
Epoch [1/10] - Batch [226/250] Loss: 0.70, CurLR: 0.0004
Epoch [1/10] - Batch [227/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [228/250] Loss: 0.60, CurLR: 0.0004
Epoch [1/10] - Batch [229/250] Loss: 0.81, CurLR: 0.0004
Epoch [1/10] - Batch [230/250] Loss: 0.71, CurLR: 0.0004
Epoch [1/10] - Batch [231/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [232/250] Loss: 0.96, CurLR: 0.0004
Epoch [1/10] - Batch [233/250] Loss: 1.25, CurLR: 0.0004
Epoch [1/10] - Batch [234/250] Loss: 0.74, CurLR: 0.0004
Epoch [1/10] - Batch [235/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [236/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [237/250] Loss: 0.66, CurLR: 0.0004
Epoch [1/10] - Batch [238/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [239/250] Loss: 0.73, CurLR: 0.0004
Epoch [1/10] - Batch [240/250] Loss: 0.90, CurLR: 0.0004
Epoch [1/10] - Batch [241/250] Loss: 0.87, CurLR: 0.0004
Epoch [1/10] - Batch [242/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [243/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [244/250] Loss: 0.78, CurLR: 0.0004
Epoch [1/10] - Batch [245/250] Loss: 0.81, CurLR: 0.0004
Epoch [1/10] - Batch [246/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [247/250] Loss: 0.77, CurLR: 0.0004
Epoch [1/10] - Batch [248/250] Loss: 0.79, CurLR: 0.0004
Epoch [1/10] - Batch [249/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [250/250] Loss: 0.96, CurLR: 0.0004
Epoch [2/10] - Batch [1/250] Loss: 0.73, CurLR: 0.0003902357750008832
Epoch [2/10] - Batch [2/250] Loss: 0.78, CurLR: 0.0003902357750008832
Epoch [2/10] - Batch [3/250] Loss: 0.78, CurLR: 0.0003902357750008832
Epoch [2/10] - Batch [4/250] Loss: 0.77, CurLR: 0.0003902357750008832
Epoch [2/10] - Batch [5/250] Loss: 1.02, CurLR: 0.0003902357750008832
