
==========

Using device:  cuda
Model: vit_base
Learning Rate: 0.0003
LR Scheduler: None
Epochs: 5
Batch Size: 4

==========Starting Training========

Epoch [1/5] - Batch [190/8000] Loss: 3.98, CurLR: 0.0003
Epoch [1/5] - Batch [191/8000] Loss: 3.49, CurLR: 0.0003
Epoch [1/5] - Batch [192/8000] Loss: 4.03, CurLR: 0.0003
Epoch [1/5] - Batch [193/8000] Loss: 3.56, CurLR: 0.0003
Epoch [1/5] - Batch [194/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [195/8000] Loss: 3.69, CurLR: 0.0003
Epoch [1/5] - Batch [196/8000] Loss: 3.87, CurLR: 0.0003
Epoch [1/5] - Batch [197/8000] Loss: 4.07, CurLR: 0.0003
Epoch [1/5] - Batch [198/8000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [199/8000] Loss: 3.62, CurLR: 0.0003
Epoch [1/5] - Batch [200/8000] Loss: 3.68, CurLR: 0.0003
Epoch [1/5] - Batch [201/8000] Loss: 3.75, CurLR: 0.0003
Epoch [1/5] - Batch [202/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [203/8000] Loss: 3.56, CurLR: 0.0003
Epoch [1/5] - Batch [204/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [205/8000] Loss: 3.66, CurLR: 0.0003
Epoch [1/5] - Batch [206/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [207/8000] Loss: 3.81, CurLR: 0.0003
Epoch [1/5] - Batch [208/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [209/8000] Loss: 3.23, CurLR: 0.0003
Epoch [1/5] - Batch [210/8000] Loss: 3.94, CurLR: 0.0003
Epoch [1/5] - Batch [211/8000] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [212/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [213/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [214/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [215/8000] Loss: 3.63, CurLR: 0.0003
